UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2010,19,4570375,2334494,2235881,1735404,1649934,374746,368195,36412,33415,113486,108053,6922,6295,67524,69989,1794426,1711078,403285,399799,57989,55119,139523,134451,13677,13074,1856464,1798480,1318110,1270377,350207,344385,21046,20052,108305,102897,4946,4545,53850,56224,1365112,1319497,373125,370026,36361,35576,130375,125169,10255,9899,478030,437401,417294,379557,24539,23810,15366,13363,5181,5156,1976,1750,13674,13765,429314,391581,30160,29773,21628,19543,9148,9282,3422,3175
R,7,2010,20,4567778,2331699,2236079,1741089,1653004,366556,365390,35972,32587,117406,112474,7217,6565,63459,66059,1796509,1710762,392676,394590,56559,53520,142199,137315,13658,12925,1853570,1806606,1323066,1280337,342333,341524,20513,19664,112208,107508,5096,4773,50354,52800,1366983,1326460,363072,364934,35077,34560,133214,128569,10133,9770,478129,429473,418023,372667,24223,23866,15459,12923,5198,4966,2121,1792,13105,13259,429526,384302,29604,29656,21482,18960,8985,8746,3525,3155
R,7,2010,21,4387157,2240936,2146221,1681692,1589343,340903,343732,34321,30774,118439,114950,6970,6280,58611,61142,1732773,1642651,364487,370235,53859,50169,141214,138453,13007,12285,1782585,1740939,1280645,1237308,318069,321099,19289,18569,113554,110119,4960,4631,46068,49213,1320739,1280140,336498,342486,32886,32528,132827,130189,9722,9383,458351,405282,401047,352035,22834,22633,15032,12205,4885,4831,2010,1649,12543,11929,412034,362511,27989,27749,20973,17641,8387,8264,3285,2902
R,7,2010,22,4286460,2188209,2098251,1658365,1567817,317864,323103,33605,30000,116370,113124,6921,6212,55084,57995,1706277,1618421,339465,347928,51984,48522,138178,135573,12689,12001,1728439,1697338,1254661,1219107,295952,301087,18412,17799,111692,108549,4861,4579,42861,46217,1291848,1259452,312601,320734,30976,30939,130111,127639,9352,9183,459770,400913,403704,348710,21912,22016,15193,12201,4678,4575,2060,1633,12223,11778,414429,358969,26864,27194,21008,17583,8067,7934,3337,2818
R,7,2010,23,4216727,2151152,2065575,1641769,1549053,302576,311815,32757,29050,115361,113497,6931,6131,51758,56029,1686772,1597949,322778,335504,50363,47405,135784,135137,12348,11632,1696467,1668346,1241460,1203074,281621,290324,17823,17160,110710,109042,4861,4444,39992,44302,1276096,1241673,296971,308901,29771,30074,127976,127471,9124,8787,454685,397229,400309,345979,20955,21491,14934,11890,4651,4455,2070,1687,11766,11727,410676,356276,25807,26603,20592,17331,7808,7666,3224,2845
R,7,2010,24,4243370,2161620,2081750,1657204,1566342,295843,307998,32583,29182,118336,118320,7052,6225,50602,53683,1701176,1612866,315051,330259,50119,47209,138303,139111,12447,11707,1700058,1681757,1250666,1217274,274537,286568,17168,16989,113767,113922,4922,4624,38998,42380,1284469,1253925,288997,303960,29100,29807,130598,131538,9156,8982,461562,399993,406538,349068,21306,21430,15415,12193,4569,4398,2130,1601,11604,11303,416707,358941,26054,26299,21019,17402,7705,7573,3291,2725
R,7,2010,25,4289347,2177546,2111801,1674419,1588453,293093,308149,32249,29130,121861,126658,6962,6266,48962,53145,1716977,1634605,311291,329425,49471,47261,141310,147624,12239,11726,1712370,1706556,1264092,1234284,272018,286703,16991,16903,117293,122294,4793,4664,37183,41708,1296258,1270389,285428,303003,28493,29725,133612,140172,8891,9008,465176,405245,410327,354169,21075,21446,15258,12227,4568,4364,2169,1602,11779,11437,420719,364216,25863,26422,20978,17536,7698,7452,3348,2718
R,7,2010,26,4160746,2102656,2058090,1617427,1545542,277723,296677,31325,28412,122475,130179,6658,6028,47048,51252,1658065,1589915,294950,316643,48112,46274,141380,150692,11932,11480,1654049,1660017,1221728,1197078,257575,276200,16366,16358,117926,126010,4666,4407,35788,39964,1252456,1231579,270236,291322,27629,28937,133863,143363,8827,8719,448607,398073,395699,348464,20148,20477,14959,12054,4549,4169,1992,1621,11260,11288,405609,358336,24714,25321,20483,17337,7517,7329,3105,2761
R,7,2010,27,4236873,2135501,2101372,1645975,1576567,279892,301724,31844,29007,123702,136468,6666,6162,47422,51444,1687041,1620967,297193,321677,48804,47270,142627,156871,11903,11638,1678188,1693135,1241972,1219648,259766,280192,16551,16617,119195,132195,4661,4521,36043,39962,1272979,1253993,272363,295240,28024,29400,135098,149499,8769,8857,457313,408237,404003,356919,20126,21532,15293,12390,4507,4273,2005,1641,11379,11482,414062,366974,24830,26437,20780,17870,7529,7372,3134,2781
R,7,2010,28,4247243,2135201,2112042,1647447,1583094,278702,303333,31142,28389,125052,140776,6719,6145,46139,50305,1687301,1626411,295342,323062,48060,46561,143299,160376,11925,11524,1677526,1698971,1242897,1220904,258550,282098,16157,15966,120504,136384,4724,4457,34694,39162,1272641,1254490,270573,297028,27459,28801,135694,152974,8798,8744,457675,413071,404550,362190,20152,21235,14985,12423,4548,4392,1995,1688,11445,11143,414660,371921,24769,26034,20601,17760,7605,7402,3127,2780
R,7,2010,29,4210042,2112518,2097524,1634044,1573241,275614,302297,30382,28373,120536,138558,6473,5811,45469,49244,1673178,1615748,292058,321730,47170,46193,138465,157500,11620,11055,1661136,1687749,1234426,1213833,256159,281202,15655,16121,115963,134270,4540,4203,34393,38120,1263840,1246563,268091,295764,26968,28640,131010,150320,8592,8411,451382,409775,399618,359408,19455,21095,14727,12252,4573,4288,1933,1608,11076,11124,409338,369185,23967,25966,20202,17553,7455,7180,3028,2644
R,7,2010,30,4304169,2167831,2136338,1670078,1594821,288869,314522,31432,28781,125535,142917,6735,6107,45182,49190,1709016,1637174,305175,333823,48536,46797,143107,161868,11850,11415,1698394,1716557,1254715,1226147,268468,293017,16100,16303,120844,138588,4654,4485,33613,38017,1283439,1258661,280052,307442,27513,29042,135347,154568,8669,8713,469437,419781,415363,368674,20401,21505,15332,12478,4691,4329,2081,1622,11569,11173,425577,378513,25123,26381,21023,17755,7760,7300,3181,2702
R,7,2010,31,4042326,2026670,2015656,1563022,1505248,267158,295665,28994,26584,119901,136967,5990,5582,41605,45610,1598846,1544409,282045,313304,44747,43444,136057,154630,10726,10477,1598385,1622304,1183335,1160063,248735,275418,15176,14860,115706,132899,4191,4039,31242,35025,1209996,1189964,259418,288386,25758,26670,129239,147810,7914,7953,428285,393352,379687,345185,18423,20247,13818,11724,4195,4068,1799,1543,10363,10585,388850,354445,22627,24918,18989,16774,6818,6820,2812,2524
R,7,2010,32,3967247,1986235,1981012,1537321,1485643,257372,285450,28125,26477,117579,134045,5742,5333,40096,44064,1571704,1523317,271485,302324,43496,43129,133401,151165,10110,9937,1560042,1587548,1158496,1139245,239527,265954,14562,14795,113479,129895,4081,3894,29897,33765,1183850,1167895,249559,278294,24862,26486,126640,144381,7503,7589,426193,393464,378825,346398,17845,19496,13563,11682,4100,4150,1661,1439,10199,10299,387854,355422,21926,24030,18634,16643,6761,6784,2607,2348
R,7,2010,33,3933156,1963654,1969502,1519544,1475845,253043,283561,28132,26209,118618,135811,5741,5361,38576,42715,1552732,1512268,266505,299669,43224,42588,133619,152465,9975,9979,1543794,1575690,1146205,1128146,235761,264262,14754,14963,114396,131754,4022,3866,28656,32699,1170586,1155812,245148,276035,24954,26513,126842,145731,7320,7527,419860,393812,373339,347699,17282,19299,13378,11246,4222,4057,1719,1495,9920,10016,382146,356456,21357,23634,18270,16075,6777,6734,2655,2452
R,7,2010,34,3821774,1908801,1912973,1473939,1433592,243516,272636,27122,25302,121757,136337,5308,5066,37159,40040,1505867,1467633,256108,287520,41717,40903,136452,152051,9473,9335,1496093,1524832,1106037,1090006,226815,253906,14062,14116,117730,132345,3793,3685,27656,30774,1129532,1115954,235526,264785,23917,25206,130047,145615,7067,7110,412708,388141,367902,343586,16701,18730,13060,11186,4027,3992,1515,1381,9503,9266,376335,351679,20582,22735,17800,15697,6405,6436,2406,2225
R,7,2010,35,3947830,1974693,1973137,1527908,1481477,250798,280325,27206,25838,127805,141694,5523,4902,35453,38901,1558034,1514480,262684,294466,41399,41094,141834,157102,9565,8967,1557056,1581402,1153549,1132824,234681,262487,14131,14554,123858,137818,3991,3605,26846,30114,1176106,1158125,243176,272817,23846,25435,135785,151021,7241,6873,417637,391735,374359,348653,16117,17838,13075,11284,3947,3876,1532,1297,8607,8787,381928,356355,19508,21649,17553,15659,6049,6081,2324,2094
R,7,2010,36,3829789,1907434,1922355,1475926,1443136,241059,272225,26442,24865,125390,140145,4951,4832,33666,37152,1504538,1474447,252231,285680,40106,39690,138708,154810,8770,8823,1509660,1543232,1118519,1104698,226269,255237,13779,14191,121803,136508,3593,3567,25697,29031,1140140,1128916,234219,265255,23325,24959,133178,149111,6683,6787,397774,379123,357407,338438,14790,16988,12663,10674,3587,3637,1358,1265,7969,8121,364398,345531,18012,20425,16781,14731,5530,5699,2087,2036
R,7,2010,37,3896235,1934485,1961750,1494885,1471278,248694,281317,26221,25236,126321,142412,4942,4758,33422,36749,1523196,1502211,259485,294510,40010,40162,139606,156905,8696,8644,1543938,1585411,1143717,1135123,234184,264694,14002,14551,122757,138673,3615,3549,25663,28821,1165221,1159124,241899,274529,23733,25545,134213,151142,6654,6702,390547,376339,351168,336155,14510,16623,12219,10685,3564,3739,1327,1209,7759,7928,357975,343087,17586,19981,16277,14617,5393,5763,2042,1942
R,7,2010,38,4079685,2028015,2051670,1578004,1550833,258483,291086,26672,25248,126575,142924,4891,4705,33390,36874,1606134,1581860,269111,304007,40879,40736,139620,157176,8688,8655,1640594,1678531,1229443,1217172,244155,274751,14541,14825,122968,139330,3560,3476,25927,28977,1251019,1241295,251898,284312,24834,26315,134204,151694,6645,6706,387421,373139,348561,333661,14328,16335,12131,10423,3607,3594,1331,1229,7463,7897,355115,340565,17213,19695,16045,14421,5416,5482,2043,1949
R,7,2010,39,4323965,2148641,2175324,1688586,1660975,269480,305391,27114,26151,124170,140126,4969,4791,34322,37890,1717605,1692851,280302,318538,42011,42392,137377,154450,8957,9025,1763290,1803212,1341874,1328739,255199,288882,15190,15451,120520,136533,3626,3568,26881,30039,1364375,1353762,263054,298721,26184,27751,131927,148888,6878,7064,385351,372112,346712,332236,14281,16509,11924,10700,3650,3593,1343,1223,7441,7851,353230,339089,17248,19817,15827,14641,5450,5562,2079,1961
R,7,2010,40,4387106,2189493,2197613,1724754,1685559,273266,303021,27298,25994,125280,141323,5100,4900,33795,36816,1753274,1716318,283847,315663,42151,42146,138042,155229,9134,9109,1801097,1830635,1375485,1357328,258742,287122,15077,15713,121668,137650,3774,3708,26351,29114,1397457,1381414,266414,296576,26025,27902,132627,149569,7104,7182,388396,366978,349269,328231,14524,15899,12221,10281,3612,3673,1326,1192,7444,7702,355817,334904,17433,19087,16126,14244,5415,5660,2030,1927
R,7,2010,41,4163087,2073865,2089222,1641242,1611328,253307,282040,25838,24664,117619,132773,4625,4538,31234,33879,1667659,1639674,262667,293291,40082,40048,129316,145355,8251,8329,1712394,1745906,1315600,1304216,239944,267142,14738,14948,114382,129385,3445,3399,24285,26816,1335936,1326441,246588,275415,25260,26660,124455,140267,6424,6530,361471,343316,325642,307112,13363,14898,11100,9716,3237,3388,1180,1139,6949,7063,331723,313233,16079,17876,14822,13388,4861,5088,1827,1799
R,7,2010,42,4082445,2031787,2050658,1605966,1578648,254904,284329,25148,24146,111946,126910,4469,4382,29354,32243,1630568,1605387,263632,294985,38848,39023,122896,138751,7900,8260,1679348,1715315,1288591,1278172,241503,269705,14300,14920,108853,123759,3288,3283,22813,25476,1307443,1299034,247676,277515,24531,26337,118264,133953,6135,6516,352439,335343,317375,300476,13401,14624,10848,9226,3093,3151,1181,1099,6541,6767,323125,306353,15956,17470,14317,12686,4632,4798,1765,1744
R,7,2010,43,4093426,2030919,2062507,1616488,1600824,253166,284884,24502,24145,103811,117019,4478,4347,28474,31288,1640358,1626781,261545,295468,38104,38916,114172,127998,7899,8009,1693625,1738639,1312286,1310819,240567,270548,14398,15231,100770,114017,3322,3267,22282,24757,1330721,1331104,246503,278342,24647,26599,109691,123464,6207,6343,337294,323868,304202,290005,12599,14336,10104,8914,3041,3002,1156,1080,6192,6531,309637,295677,15042,17126,13457,12317,4481,4534,1692,1666
R,7,2010,44,4178095,2074484,2103611,1646579,1629649,264310,295190,25111,24526,105665,118806,4384,4328,28435,31112,1670121,1655381,272727,305380,38997,39652,115793,129729,7878,8013,1739567,1784077,1344840,1343641,251362,281017,14936,15705,102803,115750,3308,3334,22318,24630,1363041,1363772,257310,288466,25592,27479,111498,125091,6239,6402,334917,319534,301739,286008,12948,14173,10175,8821,2862,3056,1076,994,6117,6482,307080,291609,15417,16914,13405,12173,4295,4638,1639,1611
R,7,2010,45,4438141,2201795,2236346,1755164,1743034,278255,309735,26226,25800,108145,121041,4646,4582,29359,32154,1779604,1769544,286643,320172,40785,41719,118618,132056,8238,8423,1864410,1913525,1451039,1453775,265438,295464,16044,17022,105192,118030,3569,3559,23128,25675,1470023,1474689,271389,303173,27170,29592,114270,127489,6569,6779,337385,322821,304125,289259,12817,14271,10182,8778,2953,3011,1077,1023,6231,6479,309581,294855,15254,16999,13615,12127,4348,4567,1669,1644
R,7,2010,46,4529380,2238744,2290636,1794525,1795876,276001,309060,25991,25848,108444,123361,4388,4439,29395,32052,1818919,1822284,284286,318931,40949,42175,118769,134392,8020,8289,1917679,1977399,1505372,1515351,263533,295067,16297,17111,105704,120561,3383,3452,23390,25857,1524540,1536360,269457,302394,27994,30242,114643,130102,6430,6696,321065,313237,289153,280525,12468,13993,9694,8737,2740,2800,1005,987,6005,6195,294379,285924,14829,16537,12955,11933,4126,4290,1590,1593
R,7,2010,47,4535054,2237824,2297230,1797810,1808071,272652,305431,25530,25452,108683,122255,4196,4315,28953,31706,1821871,1834046,280539,315318,40330,41869,118881,132878,7665,8073,1932815,1996642,1522814,1538904,260968,292258,16311,17064,106028,119417,3259,3397,23435,25602,1542079,1559625,266662,299604,28107,30278,114967,128578,6244,6562,305009,300588,274996,269167,11684,13173,9219,8388,2655,2838,937,918,5518,6104,279792,274421,13877,15714,12223,11591,3914,4300,1421,1511
